"id","symbol","frequency","candle_time","open","high","low","close","volume","oi","active"
270747,AXISBANK,1,"2025-07-03 13:20:00",1175.20,1175.30,1175.10,1175.20,4135.00,0.00,1
270748,AXISBANK,1,"2025-07-03 13:21:00",1175.20,1175.30,1175.00,1175.10,3719.00,0.00,1
270749,AXISBANK,1,"2025-07-03 13:22:00",1175.00,1175.20,1175.00,1175.20,4767.00,0.00,1
270750,AXISBANK,1,"2025-07-03 13:23:00",1175.20,1175.30,1175.00,1175.00,9114.00,0.00,1
270751,AXISBANK,1,"2025-07-03 13:24:00",1175.00,1175.00,1174.80,1175.00,5754.00,0.00,1
270752,AXISBANK,1,"2025-07-03 13:25:00",1175.00,1175.10,1174.80,1175.00,6249.00,0.00,1
270753,AXISBANK,1,"2025-07-03 13:26:00",1175.00,1175.00,1174.70,1174.90,5126.00,0.00,1
270754,AXISBANK,1,"2025-07-03 13:27:00",1174.90,1175.00,1174.50,1174.90,4653.00,0.00,1
270755,AXISBANK,1,"2025-07-03 13:28:00",1174.60,1175.00,1174.60,1175.00,10557.00,0.00,1
270756,AXISBANK,1,"2025-07-03 13:29:00",1175.00,1175.00,1174.70,1175.00,5532.00,0.00,1
270757,AXISBANK,1,"2025-07-03 13:30:00",1175.00,1175.00,1174.80,1175.00,4192.00,0.00,1
270758,AXISBANK,1,"2025-07-03 13:31:00",1175.00,1175.00,1174.50,1175.00,8267.00,0.00,1
270759,AXISBANK,1,"2025-07-03 13:32:00",1174.70,1175.20,1174.60,1175.00,19371.00,0.00,1
270760,AXISBANK,1,"2025-07-03 13:33:00",1174.90,1175.00,1174.80,1174.80,5524.00,0.00,1
270761,AXISBANK,1,"2025-07-03 13:34:00",1175.00,1175.00,1173.50,1174.50,855063.00,0.00,1
270762,AXISBANK,1,"2025-07-03 13:35:00",1174.50,1175.70,1174.40,1175.20,40314.00,0.00,1
270763,AXISBANK,1,"2025-07-03 13:36:00",1175.50,1177.50,1175.10,1177.30,20345.00,0.00,1
270764,AXISBANK,1,"2025-07-03 13:37:00",1177.30,1177.60,1176.90,1177.60,6800.00,0.00,1
270765,AXISBANK,1,"2025-07-03 13:38:00",1177.70,1178.00,1177.20,1177.60,13135.00,0.00,1
270766,AXISBANK,1,"2025-07-03 13:39:00",1177.80,1178.00,1177.00,1177.40,19555.00,0.00,1
270767,AXISBANK,1,"2025-07-03 13:40:00",1177.20,1178.40,1177.20,1178.40,17066.00,0.00,1
270768,AXISBANK,1,"2025-07-03 13:41:00",1178.40,1178.80,1177.10,1177.70,15687.00,0.00,1
270769,AXISBANK,1,"2025-07-03 13:42:00",1177.60,1178.20,1177.20,1177.90,9285.00,0.00,1
270770,AXISBANK,1,"2025-07-03 13:43:00",1177.90,1178.00,1177.50,1177.70,8339.00,0.00,1
270771,AXISBANK,1,"2025-07-03 13:44:00",1177.50,1177.90,1177.40,1177.70,9021.00,0.00,1
270772,AXISBANK,1,"2025-07-03 13:45:00",1177.70,1178.10,1176.70,1176.90,14760.00,0.00,1
270773,AXISBANK,1,"2025-07-03 13:46:00",1177.20,1177.20,1176.20,1176.20,5801.00,0.00,1
270774,AXISBANK,1,"2025-07-03 13:47:00",1176.20,1176.40,1175.50,1175.70,7260.00,0.00,1
270775,AXISBANK,1,"2025-07-03 13:48:00",1175.70,1175.70,1175.00,1175.10,17334.00,0.00,1
270776,AXISBANK,1,"2025-07-03 13:49:00",1175.40,1175.50,1175.00,1175.10,45267.00,0.00,1
270777,AXISBANK,1,"2025-07-03 13:50:00",1175.00,1175.20,1174.50,1175.20,29970.00,0.00,1
270778,AXISBANK,1,"2025-07-03 13:51:00",1175.00,1175.20,1174.50,1174.70,9635.00,0.00,1
270779,AXISBANK,1,"2025-07-03 13:52:00",1175.00,1175.20,1174.70,1175.10,11033.00,0.00,1
270780,AXISBANK,1,"2025-07-03 13:53:00",1175.10,1175.20,1175.00,1175.00,4665.00,0.00,1
270781,AXISBANK,1,"2025-07-03 13:54:00",1175.10,1175.20,1175.00,1175.10,3932.00,0.00,1
270782,AXISBANK,1,"2025-07-03 13:55:00",1175.10,1175.20,1175.00,1175.20,3711.00,0.00,1
270783,AXISBANK,1,"2025-07-03 13:56:00",1175.10,1175.90,1175.00,1175.80,10371.00,0.00,1
270784,AXISBANK,1,"2025-07-03 13:57:00",1175.80,1175.90,1175.00,1175.30,12866.00,0.00,1
270785,AXISBANK,1,"2025-07-03 13:58:00",1175.20,1175.90,1175.20,1175.50,3949.00,0.00,1
270786,AXISBANK,1,"2025-07-03 13:59:00",1175.30,1175.40,1175.00,1175.40,8136.00,0.00,1
270787,AXISBANK,1,"2025-07-03 14:00:00",1175.40,1175.40,1174.60,1174.90,12768.00,0.00,1
270788,AXISBANK,1,"2025-07-03 14:01:00",1175.00,1175.00,1174.50,1174.50,6630.00,0.00,1
270789,AXISBANK,1,"2025-07-03 14:02:00",1174.60,1175.00,1174.50,1174.90,4795.00,0.00,1
270790,AXISBANK,1,"2025-07-03 14:03:00",1175.00,1175.00,1174.50,1175.00,5967.00,0.00,1
270791,AXISBANK,1,"2025-07-03 14:04:00",1174.90,1175.00,1174.40,1174.80,10065.00,0.00,1
270792,AXISBANK,1,"2025-07-03 14:05:00",1175.00,1175.00,1174.20,1174.60,6599.00,0.00,1
270793,AXISBANK,1,"2025-07-03 14:06:00",1174.90,1174.90,1174.10,1174.70,6301.00,0.00,1
270794,AXISBANK,1,"2025-07-03 14:07:00",1174.50,1175.00,1174.40,1174.90,5714.00,0.00,1
270795,AXISBANK,1,"2025-07-03 14:08:00",1174.90,1175.00,1174.50,1175.00,6185.00,0.00,1
270796,AXISBANK,1,"2025-07-03 14:09:00",1175.00,1175.00,1174.60,1174.90,6367.00,0.00,1
270797,AXISBANK,1,"2025-07-03 14:10:00",1174.90,1175.00,1174.70,1175.00,7990.00,0.00,1
270798,AXISBANK,1,"2025-07-03 14:11:00",1175.00,1175.80,1174.70,1174.90,21899.00,0.00,1
270799,AXISBANK,1,"2025-07-03 14:12:00",1175.00,1175.00,1174.80,1175.00,19130.00,0.00,1
270800,AXISBANK,1,"2025-07-03 14:13:00",1175.00,1175.00,1174.90,1175.00,7137.00,0.00,1
270801,AXISBANK,1,"2025-07-03 14:14:00",1175.00,1175.00,1174.40,1174.90,7348.00,0.00,1
270802,AXISBANK,1,"2025-07-03 14:15:00",1174.70,1174.90,1174.20,1174.60,8913.00,0.00,1
270803,AXISBANK,1,"2025-07-03 14:16:00",1174.60,1174.90,1174.10,1174.70,19796.00,0.00,1
270804,AXISBANK,1,"2025-07-03 14:17:00",1174.70,1174.80,1174.20,1174.30,8139.00,0.00,1
270805,AXISBANK,1,"2025-07-03 14:18:00",1174.30,1174.40,1174.20,1174.40,7654.00,0.00,1
270806,AXISBANK,1,"2025-07-03 14:19:00",1174.40,1174.50,1174.00,1174.40,25108.00,0.00,1
270807,AXISBANK,1,"2025-07-03 14:20:00",1174.50,1174.70,1174.10,1174.40,20801.00,0.00,1
270808,AXISBANK,1,"2025-07-03 14:21:00",1174.40,1174.90,1174.00,1174.10,22074.00,0.00,1
270809,AXISBANK,1,"2025-07-03 14:22:00",1174.00,1174.50,1173.60,1174.20,38666.00,0.00,1
270810,AXISBANK,1,"2025-07-03 14:23:00",1174.50,1175.00,1174.00,1174.80,13110.00,0.00,1
270811,AXISBANK,1,"2025-07-03 14:24:00",1174.80,1175.00,1174.10,1174.40,20392.00,0.00,1
270812,AXISBANK,1,"2025-07-03 14:25:00",1174.10,1174.30,1173.10,1173.30,25420.00,0.00,1
270813,AXISBANK,1,"2025-07-03 14:26:00",1173.40,1174.10,1173.40,1173.60,9197.00,0.00,1
270814,AXISBANK,1,"2025-07-03 14:27:00",1173.60,1173.90,1173.20,1173.50,10179.00,0.00,1
270815,AXISBANK,1,"2025-07-03 14:28:00",1173.80,1173.80,1173.20,1173.40,10344.00,0.00,1
270816,AXISBANK,1,"2025-07-03 14:29:00",1173.40,1173.50,1172.70,1172.80,19804.00,0.00,1
270817,AXISBANK,1,"2025-07-03 14:30:00",1172.60,1172.90,1172.10,1172.10,18332.00,0.00,1
270818,AXISBANK,1,"2025-07-03 14:31:00",1172.10,1172.10,1171.00,1171.40,32986.00,0.00,1
270819,AXISBANK,1,"2025-07-03 14:32:00",1171.40,1171.40,1170.60,1170.80,23379.00,0.00,1
270820,AXISBANK,1,"2025-07-03 14:33:00",1170.70,1171.60,1170.60,1171.60,14980.00,0.00,1
270821,AXISBANK,1,"2025-07-03 14:34:00",1171.30,1172.50,1171.30,1171.60,17821.00,0.00,1
270822,AXISBANK,1,"2025-07-03 14:35:00",1171.30,1171.60,1170.70,1170.90,24235.00,0.00,1
270823,AXISBANK,1,"2025-07-03 14:36:00",1171.00,1171.40,1170.70,1171.10,15157.00,0.00,1
